0	0	1	
0.525731	0	0.850651	
0.16246	0.5	0.850651	
0.894427	0	0.447214	
0.688191	0.5	0.525731	
0.276393	0.850651	0.447214	
-0.425325	0.309017	0.850651	
-0.262866	0.809017	0.525731	
-0.723607	0.525731	0.447214	
-0.425325	-0.309017	0.850651	
-0.850651	1.40688e-15	0.525731	
-0.723607	-0.525731	0.447214	
0.16246	-0.5	0.850651	
-0.262866	-0.809017	0.525731	
0.276393	-0.850651	0.447214	
0.688191	-0.5	0.525731	
0.723607	0.525731	-0.447214	
0.587785	0.809017	8.26946e-16	
0.951057	0.309017	1.27104e-15	
-0.276393	0.850651	-0.447214	
-0.587785	0.809017	8.26946e-16	
1.3935e-15	1	1.27104e-15	
-0.894427	6.84875e-16	-0.447214	
-0.951057	-0.309017	8.26946e-16	
-0.951057	0.309017	1.27104e-15	
-0.276393	-0.850651	-0.447214	
1.59266e-15	-1	8.26946e-16	
-0.587785	-0.809017	1.27104e-15	
0.723607	-0.525731	-0.447214	
0.951057	-0.309017	8.26946e-16	
0.587785	-0.809017	1.27104e-15	
0.262866	0.809017	-0.525731	
-0.688191	0.5	-0.525731	
-0.688191	-0.5	-0.525731	
0.262866	-0.809017	-0.525731	
0.850651	2.08349e-16	-0.525731	
6.19475e-16	4.50075e-16	-1	
0.425325	0.309017	-0.850651	
-0.16246	0.5	-0.850651	
-0.525731	1.33645e-15	-0.850651	
-0.16246	-0.5	-0.850651	
0.425325	-0.309017	-0.850651	
